Үнэ,Дүүрэг,Талбай (м.кв),Ашиглалтад орсон,Барилгын давхар,Хэдэн давхарт,Цонхны тоо,Гараж
85 сая ₮,Сонгинохайрхан,48,1986,5,5,2,Байхгүй
125 сая ₮,Сонгинохайрхан,50,1984,9,6,3,Байхгүй
3.4 сая ₮,Сүхбаатар,"37,9",2022,16,11,2,Байхгүй
105 сая ₮,Баянзүрх,40,1998,9,9,2,Байхгүй
2.4 сая ₮,Хан-Уул,131,2018,12,12,4,Байхгүй
350 сая ₮,Баянзүрх,100,2012,16,13,3,Байгаа
140 сая ₮,Чингэлтэй,45.45,2023,16,7,2,Байхгүй
2.7 сая ₮,Баянзүрх,58.53 m.kv,2023,6,5,3,Байхгүй
185 сая ₮,Баянзүрх,55m,2010,12,8,3,Байхгүй
168 сая ₮,Сонгинохайрхан,80,1990,9,5,4,Байхгүй
339 сая ₮,Баянгол,144m2,2000,9,1,7,Байхгүй
0.5 сая ₮,Баянзүрх,70,2015,16,6,4,Байхгүй
2.6 сая ₮,Хан-Уул,"79,5",2017,12,9,4,Байгаа
165 сая ₮,Баянгол,45,2008,12,4,5,Байхгүй
1.9 сая ₮,Сүхбаатар,68.01,2023,16,4,3,Байхгүй
3.8 сая ₮,Баянзүрх,217,2008,6,1,5,Байхгүй
3.2 сая ₮,Баянзүрх,"55,2",2022,16,14,2,Байхгүй
Үнэ: Асуух,Хан-Уул,139,2010,5,3,5,Байгаа
120 сая ₮,Чингэлтэй,40,1990,5,5,3,Байхгүй
2.9 сая ₮,Баянгол,"41,1",2012,10,2,2,Байхгүй
170 сая ₮,Хан-Уул,53м2,2016,16,4,2,Байхгүй
110 сая ₮,Баянзүрх,56,1988,6,4,3,Байхгүй
3.9 сая ₮,Хан-Уул,"119,7",2015,12,2,6,Байхгүй
2.8 сая ₮,Баянзүрх,"57,18",2016,16,3,4,Байхгүй
90 сая ₮,Баянзүрх,29.90,2023,16,15,3,Байхгүй
2.9 сая ₮,Баянгол,88.9,2013,12,8,4,Байхгүй
87 сая ₮,Баянзүрх,33,2014,12,7,2,Байхгүй
37 сая ₮,Сонгинохайрхан,25,2018,5,1,1,Байхгүй
180 сая ₮,Баянгол,40,1990,9,1,4,Байхгүй
250 сая ₮,Баянзүрх,80.4,2011,10,2,3,Байхгүй
2.5 сая ₮,Баянгол,98,2004,6,5,5,Байгаа
5.5 сая ₮,Хан-Уул,140.7,2017,14,11,8+,Байхгүй
2.5 сая ₮,Баянгол,65,1990,5,5,4,Байхгүй
3.3 сая ₮,Баянзүрх,72.8,2023,3,5,4,Байгаа
3 сая ₮,Хан-Уул,73.2,2022,16,2,2,Байхгүй
115 сая ₮,Баянгол,44,2013,16,11,3,Байхгүй
89 сая ₮,Хан-Уул,42.32,2014,9,6,1,Байхгүй
143 сая ₮,Баянзүрх,51,2022,14,2,2,Байхгүй
120 сая ₮,Баянгол,39м.кв,1999,5,5,3,Байхгүй
130 сая ₮,Баянгол,42,2010,9,5,2,Байхгүй
112 сая ₮,Хан-Уул,45.32,2021,12,11,2,Байгаа
3.2 сая ₮,Хан-Уул,58.68,2020,16,9,3,Байхгүй
396 сая ₮,Баянзүрх,"104,22",2014,12,9,3,Байхгүй
4.3 сая ₮,Баянзүрх,85.08,2014,16,14,4,Байгаа
75 сая ₮,Сонгинохайрхан,29мк,2015,15,4,2,Байхгүй
170 сая ₮,Баянзүрх,58.8,2023,7,6,4,Байхгүй
3.3 сая ₮,Баянзүрх,"46,27",2023,11,9,2,Байхгүй
2.5 сая ₮,Сүхбаатар,100,2009,7,5,5,Байгаа
214 сая ₮,Хан-Уул,61,2022,10,2,2,Байгаа
175 сая ₮,Баянзүрх,49.26,2011,16,4,2,Байхгүй
140 сая ₮,Баянзүрх,57.18,2016,16,3,4,Байхгүй
4.2 сая ₮,Баянзүрх,133,2016,16,4,6,Байгаа
